,TaxiCode,Latitude,Longitude,Bfa,Ownership,Type,Name
3370,B13,1.2966666666666666,103.85666666666665,Yes,CCS,Stand,Beach Rd outside Shaw Towers
3371,B14,1.2958333333333332,103.85527777777777,No,LTA,Stand,Purvis St outside Shop House No. 24
3372,B17,1.2991666666666666,103.85055555555554,Yes,LTA,Stand,Bencoolen St at Masjid Bencoolen opp Bencoolen DTL Station (Ent A)
3373,B18,1.2994444444444444,103.85527777777777,Yes,Private,Stand,Victoria St along driveway of Bugis Junction
3374,C01,1.2908333333333333,103.84583333333333,Yes,Private,Stand,River Valley Rd at Clarke Quay
3375,C02,1.2913888888888887,103.845,Yes,CCS,Stand,River Valley Rd at Liang Court
3376,C04,1.2902777777777776,103.84472222222222,Yes,LTA,Stand,Tan Tye Place at Clarke Quay
3377,C06,1.2938888888888889,103.84916666666666,Yes,LTA,Stand,Armenian St in front of Peranakan Museum
3378,C08,1.2916666666666665,103.85027777777778,Yes,Private,Stand,Coleman St along driveway outside Peninsula Excelsior Hotel
3379,C12,1.2908333333333333,103.85138888888888,Yes,Private,Stop,Coleman St at The Adelphi
3380,C13,1.2925,103.85138888888888,Yes,Private,Stand,North Bridge Rd outside Capitol Piazza
3381,C14,1.2930555555555554,103.85249999999999,Yes,Private,Stand,Stamford Rd along driveway of Raffles City
3382,C15,1.2938888888888889,103.85249999999999,Yes,Private,Stand,North Bridge Rd along driveway of Raffles City
3383,C18,1.295,103.8586111111111,Yes,Private,Stand,Temasek Blvd at Suntec Tower 1 & 2
3384,C19,1.2944444444444443,103.85944444444443,Yes,Private,Stand,Temasek Blvd at Suntec Tower 3 & 4
3385,C20,1.291111111111111,103.85972222222222,Yes,Private,Stand,Raffles Blvd at Millenia Walk
3386,C21,1.2922222222222222,103.86055555555555,Yes,Private,Stand,Temasek Ave at Millenia Tower
3387,C22,1.291111111111111,103.85833333333333,Yes,Private,Stand,Raffles Blvd along driveway of Marina Square
3388,C24,1.2894444444444444,103.85638888888889,Yes,Private,Stand,Raffles Ave at The Esplanade
3389,C25,1.2925,103.85666666666665,Yes,Private,Stand,Raffles Blvd at Suntec City Mall
3390,C26,1.2958333333333332,103.84583333333333,Yes,LTA,Stop,Percival Rd at round-about of Fort Canning Park
3391,C27,1.293611111111111,103.85777777777777,Yes,Private,Stand,Temasek Blvd at Suntec Tower 5
3392,C28,1.2919444444444443,103.84416666666667,Yes,LTA,Stand,Clarke Quay outside Fort Canning DTL Station (towards River Valley) (Ent A)
3393,C29,1.2922222222222222,103.84472222222222,Yes,LTA,Stand,River Valley Rd outside Fort Canning DTL Station (towards Downtown) (Ent B)
3394,D01,1.2797222222222222,103.84055555555555,Yes,Private,Stand,Teo Hong Rd beside Dorsett Residences
3395,D02,1.2783333333333333,103.84166666666667,Yes,LTA,Stand,Neil Rd in front of Chinatown Plaza
3396,D04,1.281388888888889,103.84166666666667,Yes,LTA,Stand,Kreta Ayer Rd opposite Oriental Plaza
3397,D05,1.2833333333333332,103.84222222222222,Yes,Private,Stand,Park Cres outside People's Park Complex
3398,D06,1.285,103.84305555555555,Yes,LTA,Stand,Upp Cross St outside OG Building
3399,D07,1.2858333333333332,103.84416666666667,No,LTA,Stop,Havelock Sq beside People's Park Centre
3400,D08,1.285,103.84472222222222,Yes,Private,Stand,New Bridge Rd along driveway of Chinatown Point
3401,D09,1.2869444444444442,103.86138888888888,Yes,Private,Stop,New Market Rd outside Ministry of Manpower
3402,D10,1.2888888888888888,103.8425,Yes,Private,Stand,Magazine Rd at Central Mall
3403,D11,1.2888888888888888,103.84388888888888,Yes,Private,Stand,Merchant Rd at Riverside Point
3404,D13,1.288611111111111,103.84805555555555,Yes,Private,Stop,Upp Circular Rd at The Riverwalk
3405,D14,1.2880555555555555,103.84722222222221,No,LTA,Stand,Carpenter St Opposite Safra Town Club
3406,D15,1.2866666666666666,103.84694444444445,Yes,LTA,Stand,North Canal Rd opposite Hong Lim Park
3407,D16,1.2822222222222222,103.84527777777777,Yes,LTA,Stand,South Bridge Rd outside Sri Mariamman Temple
3408,D17,1.2808333333333333,103.84416666666667,No,LTA,Stand,Sago Lane beside Buddha Tooth Relic Temple & Museum
3409,D18,1.2825,103.84388888888888,No,LTA,Stand,Temple St in front of Grand Court Restaurant
3410,D19,1.2838888888888889,103.84388888888888,No,LTA,Stand,Mosque St in front of Dragon Brand Bird's Nest Building
3411,D21,1.2830555555555554,103.84305555555555,No,LTA,Stop,Temple St beside Lucky Chinatown
3412,E06,1.281111111111111,103.84722222222221,No,LTA,Stand,Amoy St behind Thian Hock Keng Temple
3413,E07,1.2822222222222222,103.84861111111111,Yes,LTA,Stand,Telok Ayer St outside PWC Building
3414,E08,1.2786111111111111,103.84777777777778,Yes,CCS,Stop,Cecil St outside GB Building (before McCallum St)
3415,E09,1.2797222222222222,103.84861111111111,Yes,CCS,Stop,Cecil St outside Keck Seng Tower
3416,E10,1.2816666666666665,103.84972222222221,Yes,Private,Stop,Cecil St outside CapitaGreen
3417,E11,1.2830555555555554,103.85111111111111,Yes,CCS,Stop,D'almeida St outside Bharat Building
3418,E13,1.284722222222222,103.85194444444444,Yes,Private,Stop,Battery Rd at Straits Trading Building
3419,E14,1.2777777777777777,103.84833333333333,Yes,LTA,Stop,Robinson Rd before McCallum Street outside Singapore Post
